stations,id_bss,code_stations,date,vigilance,alerte,alerte_renforcee,crise
FORAGE - LAPAILLANCHE (MANTHES - BRGM 26) - BSH,BSS001WMMN,07704X0079/S,2025-12-01,233.95000000000002,233.18,232.76999999999998,232.44
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-01-01,233.44,231.89000000000001,231.08,230.41
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-02-01,233.54,232,231.2,230.54
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-03-01,233.66,232.15,231.36,230.70999999999998
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-04-01,233.63,232.08,231.26999999999998,230.60999999999999
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-05-01,233.59,232.06,231.26,230.60999999999999
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-06-01,233.67,232.9,232.5,232.17
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-07-01,233.39000000000001,232.62,232.22,231.89000000000001
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-08-01,232.92000000000002,231.44,230.66,230.02
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-09-01,233.13,231.75,231.03,230.44
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-10-01,233.32000000000002,231.91,231.17,230.56
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-11-01,233.39000000000001,231.9,231.12,230.48000000000002
Forage - L Ile [Manthes],BSS001WMJN,07704X0007/F,2025-12-01,233.23,231.49,230.59,229.84
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-01-01,232.84,232.56,232.42000000000002,232.29
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-02-01,232.86,232.57,232.41,232.29
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-03-01,232.82000000000002,232.55,232.4,232.28
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-04-01,232.83,232.53,232.37,232.23999999999998
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-05-01,232.8,232.48000000000002,232.31,232.18
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-06-01,232.72,232.41,232.25,232.12
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-07-01,232.5,232.2,232.05,231.92000000000002
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-08-01,232.43,232.10999999999999,231.95000000000002,231.81
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-09-01,232.52,232.22,232.06,231.93
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-10-01,232.64,232.35000000000002,232.19,232.06
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-11-01,232.73999999999998,232.45000000000002,232.29,232.16
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH,BSS001WNCL,07707X0144/F,2025-12-01,232.79,232.51,232.36,232.23999999999998
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-01-01,164.14,163.87,163.73999999999998,163.62
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-02-01,164.15,163.89000000000001,163.75,163.63
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-03-01,164.13,163.88000000000002,163.75,163.64
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-04-01,164.1,163.84,163.7,163.59
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-05-01,164.08,163.81,163.68,163.56
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-06-01,163.97,163.70999999999998,163.57,163.46
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-07-01,163.72,163.46,163.32000000000002,163.2
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-08-01,163.65,163.39000000000001,163.25,163.14
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-09-01,163.8,163.57,163.45000000000002,163.35000000000002
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-10-01,163.9,163.67,163.55,163.45000000000002
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-11-01,163.99,163.73999999999998,163.62,163.51
FORAGE - MAUPAS (ROMANS SUR ISERE - 26),BSS001XMKZ,07948X0047/F1,2025-12-01,164.04,163.79,163.66,163.55
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-01-01,250.20999999999998,249.96,249.83,249.72
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-02-01,250.28,250.01,249.87,249.75
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-03-01,250.3,249.98000000000002,249.81,249.67
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-04-01,250.29,249.99,249.83,249.7
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-05-01,250.29,249.99,249.83,249.7
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-06-01,250.26,249.97,249.82000000000002,249.69
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-07-01,250.16,249.88000000000002,249.73,249.60999999999999
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-08-01,250.1,249.8,249.65,249.52
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-09-01,250.04,249.72,249.55,249.41
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-10-01,250,249.68,249.51,249.38000000000002
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-11-01,250.05,249.73999999999998,249.57,249.44
Saint-Bonnet-de-Chavagne [Puits - Fontchaude],BSS001XNAA,07953X0104/P,2025-12-01,250.13,249.85000000000002,249.7,249.58
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-01-01,250.20999999999998,249.96,249.83,249.72
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-02-01,250.28,250.01,249.87,249.75
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-03-01,250.3,249.98000000000002,249.81,249.67
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-04-01,250.29,249.99,249.83,249.7
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-05-01,250.29,249.99,249.83,249.7
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-06-01,250.26,249.97,249.82000000000002,249.69
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-07-01,250.16,249.88000000000002,249.73,249.60999999999999
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-08-01,250.1,249.8,249.65,249.52
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-09-01,250.04,249.72,249.55,249.41
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-10-01,250,249.68,249.51,249.38000000000002
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-11-01,250.05,249.73999999999998,249.57,249.44
FORAGE - CROIX DU PLATRE (Vatilieu - BRGM 38),BSS001WPWZ,07725X0071/F3),2025-12-01,250.13,249.85000000000002,249.7,249.58
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-01-01,248.3,247.60999999999999,247.23999999999998,246.94
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-02-01,248.34,247.64,247.28,246.97
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-03-01,248.35000000000002,247.65,247.29,246.99
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-04-01,248.32000000000002,247.64,247.28,246.99
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-05-01,248.26,247.53,247.15,246.84
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-06-01,248.05,247.4,247.05,246.76999999999998
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-07-01,247.52,246.87,246.54,246.26
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-08-01,247.32000000000002,246.68,246.34,246.07
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-09-01,247.65,247,246.66,246.38000000000002
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-10-01,247.92000000000002,247.23999999999998,246.88000000000002,246.59
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-11-01,248.1,247.38000000000002,247,246.69
PUITS - DEROUX (MARGES - BRGM 26),BSS001XLSB,07944X0049/S,2025-12-01,248.19,247.45000000000002,247.07,246.75
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-01-01,164.14,163.87,163.73999999999998,163.62
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-02-01,164.15,163.89000000000001,163.75,163.63
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-03-01,164.13,163.88000000000002,163.75,163.64
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-04-01,164.1,163.84,163.7,163.59
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-05-01,164.08,163.81,163.68,163.56
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-06-01,163.97,163.70999999999998,163.57,163.46
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-07-01,163.72,163.46,163.32000000000002,163.2
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-08-01,163.65,163.39000000000001,163.25,163.14
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-09-01,163.8,163.57,163.45000000000002,163.35000000000002
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-10-01,163.9,163.67,163.55,163.45000000000002
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-11-01,163.99,163.73999999999998,163.62,163.51
PIEZOMETRE - SALLE COMMUNALE (MARGES - BRGM 26) - BSH,BSS001XLVS,07944X0409/F,2025-12-01,164.04,163.79,163.66,163.55
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-01-01,140.85000000000002,140.56,140.42000000000002,140.3
