stations;Id_bss;code_stations;date;Vigilance;Alerte;Alerte renforcee;Crise
Forage - L Ile [Manthes];BSS001WMJN;07704X0007/F;Avril;233.63;232.08;231.27;230.61
Forage - L Ile [Manthes];BSS001WMJN;07704X0007/F;Mai;233.59;232.06;231.26;230.61
Forage - L Ile [Manthes];BSS001WMJN;07704X0007/F;Juin;233.67;232.9;232.5;232.17
Forage - L Ile [Manthes];BSS001WMJN;07704X0007/F;Juillet;233.39;232.62;232.22;231.89
Forage - L Ile [Manthes];BSS001WMJN;07704X0007/F;Août;232.92;231.44;230.66;230.02
Forage - L Ile [Manthes];BSS001WMJN;07704X0007/F;Septembre;233.13;231.75;231.03;230.44
Forage - L Ile [Manthes];BSS001WMJN;07704X0007/F;Octobre;233.32;231.91;231.17;230.56
Forage - L Ile [Manthes];BSS001WMJN;07704X0007/F;Novembre;233.39;231.9;231.12;230.48
Forage - L Ile [Manthes];BSS001WMJN;07704X0007/F;Décembre;233.23;231.49;230.59;229.84
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Janvier;232.84;232.56;232.42;232.29
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Février;232.86;232.57;232.41;232.29
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Mars;232.82;232.55;232.4;232.28
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Avril;232.83;232.53;232.37;232.24
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Mai;232.8;232.48;232.31;232.18
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Juin;232.72;232.41;232.25;232.12
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Juillet;232.5;232.2;232.05;231.92
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Août;232.43;232.11;231.95;231.81
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Septembre;232.52;232.22;232.06;231.93
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Octobre;232.64;232.35;232.19;232.06
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Novembre;232.74;232.45;232.29;232.16
PIEZOMETRE - CHEVAUX (CLAVEYSON - BRGM 26) - BSH;BSS001WNCL;07707X0144/F;Décembre;232.79;232.51;232.36;232.24
